id,ids,url,source,localPath,status,format,width,height,blackRatio,whiteRatio,grayRatio,hsvSaturationOverThresholdRatio,rgbSaturationOverThresholdRatio,rgbNonGrayRatio,decodedRgbSha256,issues,error
page-animal-crossing-6,page-animal-crossing-6,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415526133.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-7,page-animal-crossing-7,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415534229.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-8,page-animal-crossing-8,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415542203.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-9,page-animal-crossing-9,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415551020.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-10,page-animal-crossing-10,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415567929.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-11,page-animal-crossing-11,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415576629.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-12,page-animal-crossing-12,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415585503.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-13,page-animal-crossing-13,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415596197.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-14,page-animal-crossing-14,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415604801.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-15,page-animal-crossing-15,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415613642.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-16,page-animal-crossing-16,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415624180.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-17,page-animal-crossing-17,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415637437.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-18,page-animal-crossing-18,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415647875.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-19,page-animal-crossing-19,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415668300.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-20,page-animal-crossing-20,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415676909.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-21,page-animal-crossing-21,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415685738.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-22,page-animal-crossing-22,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415699792.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-23,page-animal-crossing-23,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415708857.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-24,page-animal-crossing-24,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415717814.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-25,page-animal-crossing-25,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415726609.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-26,page-animal-crossing-26,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415735451.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-27,page-animal-crossing-27,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415744255.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-28,page-animal-crossing-28,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415753100.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-29,page-animal-crossing-29,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415761719.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-30,page-animal-crossing-30,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415779236.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-31,page-animal-crossing-31,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415787874.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
